Contract Name
Responsible Procurement
ASC Commissioning Self-Assessment resource
RFI for Overnight Short Breaks with Outreach Support Service for Children and Young People with Disabilities (0-18 years old) in Herefordshire - Market Engagement RFI
Rochdale Carers Service
H0750 - FRAMEWORK FOR THE PROVISION OF PSYCHOMETRIC/ DIAGNOSTIC ASSESSMENT
Care at Home Services Flexible Framework Agreement
GLA 82810 Domestic Abuse Safe Accommodation (DASA) provision
Behaviour Support Service for Children and Young People with Autism and or Learning Disabilities
Sandwell Adaptive Cycling
Kent County Council (KCC) Skills Programme DPS - SC240120
Surrey Appropriate Adult Volunteering Service (SAAVS) Request For Information
"NHSE881 - His Majesty's Prison Haverigg, His Majesty's Prison Garth and His Majesty's Prison Wymott - Dental Services"
T25-147BUS Delivery of the Succeed in Enterprise Programme for DCSDC LMP
Regional Reflect Project-  Pre-Tender Event
QW Development of Guidance on Quality Assurance processes for Qualification Assessments
Neurodevelopmental Credential
CCS061 Alternative Education Provision Framework
Soft Market Test for Shared Lives Carer Referral Programme
Day Services for Younger People Living With Dementia
Insurance and Related Services 2026 for Hawthorn Housing Co-operative Ltd
NECS574 - Community COVID-19 Vaccination Service - Outreach Service for North East and Yorkshire
London Underground Rolling Stock Disposal Framework
Day Opportunity Services Framework
Southampton Early Advice and Support (SEAS) Service
CO6080 - Victoria Park Market Concession
Research: Consumer Insights Tracker
The SEND Information Advice and Support Service (SENDIASS)
Expression of Interest: Enhanced Support for Females Experiencing Multiple Disadvantage (Including Substance Use)
PAN3317 - Connect to Work IPS Provision
AT1454 - Provision of Passenger transport Services
Local Healthwatch Provision
Structured Support Services
PS25123 - RAF003/2526 - Great British Energy – Employment Impact Assessment Framework
HCC -OCT/25 THE PROVISION OF RESIDENTIAL CHILDREN’S HOMES FOR CHILDREN AND YOUNG PEOPLE WITH AUTISM
Lancashire Adult Skills Framework
Overcoming Barriers to Town Centre Housing Conversion - UID 115 NP392
SEN MEDIATION AND DISPUTE RESOLUTION SERVICES
T25-152BUS Delivery of a Plant and Machinery Employment Academy for DCSDC LMP
HAC6053 Core Rough Sleeping Services Lots 1 and 2
"The Delivery of End Point Assessments (EPA) for the Army Level 4 Intelligence Analyst (ST0516), Level 4 Data Analyst (ST0118) and the Level 3 Data Technician (ST0795)"
Open Light Touch Framework for Independent and Alternative Education Support for Children and Young People in Devon
Heritage Place Development & Growth Programme NEL
Marketing Creative & Advertisement Services
"In-Reach Talking Therapies, Counselling and Psychotherapy for Substance Use Service Users"
AT1456 Children's Residential Home
Marine Hall Theatre Operating Contract
Warwick People Team’s Learning & Development Dynamic Framework of Service Providers
National Autism Training for Psychiatrists (Enhanced training) 2025/26
Insurance and Related Services 5
NCC1372 Integrated Domestic Abuse Service for Northumberland
ID 5967233 - DE - Statistics and Research - The Trends in International Mathematics and Science Study (TIMSS) 2027
Provision of Asylum Support and Accommodation Services
Waste Collection Services  2025
Connect to Work - Supported Employment Quality Framework (SEQF) Delivery
Provision of Insurance Brokerage and Associated Services
Market Engagement : Supported Housing Buildings in Lewisham
Blackpool Community Equipment Service
North Northamptonshire Council - Early Years Suite Apprenticeship Programme
Landscape Assessment of Potential Development Sites
Insurance and Related Services 2026 for Tollcross Housing Association
"PROVISION OF THE PUBLIC HEALTH NURSING SERVICE FOR CHILDREN AGED 0 -19 YEARS, DERBYSHIRE INTEGRATED BREASTFEEDING SUPPORT SERVICE AND ORAL HEALTH PROMOTION SERVICE"
Home Care Framework (2025)
Overnight Short Breaks provision for children with a disability
Force Medical Officer
Community Justice Learning (Professional Qualification in Probation)
Children and Family Wellbeing Service Emotional Health & Wellbeing
Anchor Insurance Services
PRW001-012 Preloved Clothing and Textiles Qualitative Research
Childrens Services - Fostering/Residential Contracts
Voluntary and Community Sector Infrastructure Support Service
"PEACEPLUS Healthy Eating, Nutrition and Wellbeing Programme"
County Durham Adult Wellbeing Services
Diversification of Children’s Social Care Market - Preliminary Market Engagement (PME) Notice (updated 20 October 2025)
GMCA 1611 Refugee Welcome Programme - Work and Skills Evaluation partner
Derby Integrated Community Equipment Services (DICES)
PEACEPLUS Multi Sports Activity Programme
ID 6210936 - DAERA - CAFRE - Farming for Sustainability Scheme Training and Themed Groups Requirements
Healthy Worcestershire 2027
Family Hubs 2027
Smokefree County Durham
Framework for Adults 18+ in MH&LD Care Homes/and with Nursing
Dementia Day Opportunities - Block
Public Buildings Construction and Infrastructure
Employability Support Programme C008/2025/2026 Market Engagement
Professional Off Road 4x4 Driver and On / Off Road Trailer Towing
Adults DA Community Service
Feasibility Studies Adult Services & Preventions
Fly-tipping Removal & Highways Incident Response
Provision of Counselling Supervision
Positive Relationships Gloucestershire (PRG)
UKRI-5278 Connecting People with Nature
Adult Skills and Employment Programmes (an Open Framework)
PEACEPLUS Holistic Wraparound Support Programme
Wolverhampton Children's and Young People's Activity Programme
Lancaster District Green Belt Review
Employability Services Procured Service Arrangement
Insurance and Related Services 2026 for Clyde Valley Housing Association
Insurance and Related Services 2026 for Clydesdale Housing Association Ltd
Business Support Programme for Oxfordshire's High Streets
CBC-1855-T-LS Dementia Post-Diagnostic Support Services
Southwark Local Access Partnership Programme - Packages 3 and 4
Home Support Principal Provider NN3 and NN4
T Level Industry Placement Support Services
4D Animate Platform/Power Technologies (4DAPT)
Adult Community Support and Enablement Service Framework
"RFQ 2025/30 - NMANDD PEACEPLUS Local Action Plan Cultural Programme – “Castles and Tower Houses of East Ulster and Louth” for the Newry, Mourne and Down District Council area"
Short Breaks Services for Disabled Children and Young People
